City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,mejit,10.2753,170.8646,28.42,76,55,5.61,MH,1693275381
244,oranjemund,-28.55,16.4333,24.65,31,0,7.72,NA,1693275383
245,wainwright,52.839,-110.8572,22.77,45,0,1.4,CA,1693275384
246,sambava,-14.2667,50.1667,20.74,82,53,5.59,MG,1693275385
247,pacocha,-17.5833,-71.3333,16.85,88,3,0.47,PE,1693275387
248,faridpur,23.6,89.8333,29.54,71,100,0.46,BD,1693275388
249,portland,45.5234,-122.6762,20.97,78,100,2.57,US,1693274705
250,pundong,-7.9522,110.3486,27.12,62,13,3.88,ID,1693275390
251,jalalaqsi,3.3766,45.5996,23.51,86,93,7.34,SO,1693275392
252,lusaka,-15.4067,28.2871,11.59,77,0,4.54,ZM,1693275108
253,sidney,-33.8679,151.2073,24.62,48,0,2.68,AU,1693275226
254,kidal,18.4411,1.4078,30.63,43,100,5.81,ML,1693275396
255,howard springs,-12.497,131.047,31.04,37,8,5.72,AU,1693275398
256,sampang,-7.1872,113.2394,27.12,64,3,3.16,ID,1693275399
257,benguela,-12.5763,13.4055,21.17,86,17,1.69,AO,1693275400
258,thompson,55.7435,-97.8558,11.09,100,100,1.54,CA,1693275401
259,kumagunnam,13.1551,10.6342,27.19,49,27,3.44,NG,1693275402
260,fale old settlement,-9.3852,-171.2468,28.65,76,79,7.24,TK,1693275404
261,ghat,24.9647,10.1728,30.76,30,17,1.48,LY,1693275405
262,rakitovo,41.9833,24.0833,17.35,62,0,2.09,BG,1693275406
263,laojunmiao,39.8333,97.7333,19.38,33,82,9.71,CN,1693275408
264,vung tau,10.346,107.0843,28.22,79,100,6.97,VN,1693275410
265,korla,41.7597,86.1469,28.18,20,100,12.16,CN,1693275411
266,severo-vostotchnyi bank,39.4112,49.2479,24.79,65,0,2.59,AZ,1693275412
267,rehoboth,-23.3167,17.0833,14.02,68,1,2.03,NA,1693275413
268,lihue,21.9789,-159.3672,29.77,66,40,5.66,US,1693275414
269,bilyts'ke,48.4064,37.1811,17.65,79,1,3.93,UA,1693275416
270,arraial do cabo,-22.9661,-42.0278,19.31,81,100,9.68,BR,1693275417
271,las tablas,7.7667,-80.2833,26.76,99,90,2.5,PA,1693275418
272,olinda,-8.0089,-34.8553,25.85,89,75,3.09,BR,1693275419
273,jayamkondacholapuram,11.2167,79.3667,27.7,66,100,4.18,IN,1693275421
274,taguatinga,-12.3857,-46.5711,26.15,54,34,1.76,BR,1693275423
275,tamanrasset,22.785,5.5228,27.95,30,40,2.06,DZ,1693275397
276,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1693275425
277,st. john's,47.5649,-52.7093,16.1,92,0,6.69,CA,1693275405
278,siniscola,40.5719,9.6922,21.75,59,0,9.38,IT,1693275428
279,lishui,28.4604,119.9103,23.87,97,100,1.67,CN,1693275429
280,westport,41.1415,-73.3579,21.63,85,75,4.12,US,1693275430
281,al jawf,29.5,38.75,22.97,43,0,1.85,SA,1693275432
282,cozumel,20.5083,-86.9458,28.04,89,100,6.69,MX,1693275433
283,vorgashor,67.5833,63.95,6.43,87,67,1.64,RU,1693275434
284,ukhta,63.5671,53.6835,5.13,96,14,1.91,RU,1693275435
285,progreso,21.2833,-89.6667,29.06,83,6,3.53,MX,1693275437
286,misrikh,27.45,80.5167,27.01,76,57,2.6,IN,1693275438
287,sao felipe,-14.8167,-41.3833,22.5,82,74,2.82,BR,1693275439
288,mariehamn,60.0973,19.9348,14.34,94,0,2.06,AX,1693275440
289,angaur state,6.906,134.13,28.0,83,94,5.89,PW,1693275442
290,divnogorsk,55.9594,92.3619,22.27,76,93,2.61,RU,1693275443
291,galesong,-5.3166,119.3661,32.01,53,43,0.69,ID,1693275444
292,nogliki,51.8333,143.1667,20.27,58,0,3.07,RU,1693275447
293,ko samui,9.5357,99.9357,30.95,66,20,3.6,TH,1693275449
294,juan diaz covarrubias,18.1628,-95.2069,25.45,90,22,1.71,MX,1693275451
295,palo santo,-25.5633,-59.3378,15.3,55,1,2.79,AR,1693275452
296,alice springs,-23.7,133.8833,26.75,11,0,2.06,AU,1693275453
297,douz,33.4663,9.0203,25.18,64,0,7.72,TN,1693275455
298,keflavik,64.0049,-22.5624,10.95,93,40,4.63,IS,1693275456
299,as saffaniyah,27.9708,48.73,32.39,51,0,3.95,SA,1693275457
300,altay,47.8667,88.1167,18.78,60,100,0.64,CN,1693275458
301,plouzane,48.3833,-4.6167,14.03,91,100,1.54,FR,1693275459
302,kuytun,54.3419,101.5036,21.9,57,14,4.89,RU,1693275461
303,bubaque,11.2833,-15.8333,26.59,83,100,5.29,GW,1693275462
304,bambous,-20.2567,57.4061,20.08,85,68,2.79,MU,1693275463
305,isafjordur,66.0755,-23.124,9.28,87,100,1.74,IS,1693275464
306,kitui,-1.367,38.0106,14.95,91,42,1.53,KE,1693275466
307,rundu,-17.9333,19.7667,18.48,55,8,4.35,NA,1693275467
